AREA_BRUTA,QUARTOS,FINALIDADE,FREGUESIA,REF,ESTADO,AREA_TERRENO,ESTACIONAMENTO,C_BANHO,CONCELHO,TIPO_DE_IMOVEL,PRECO_DE_ARRENDAMENTO,DISTRITO,ZONA,CERT_ENERG,PRECO_DE_VENDA
129,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170272,NOVO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,135000
105,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170271,NOVO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,135000
64,1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170269,NOVO,-1,1,1,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,86000
111,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170268,NOVO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,-1,135000
194,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170265,USADO,300,-1,2,BRAGANCA,CAFE,-1,BRAGANCA,-1,-1,90000
240,5,VENDA,CARCAO,292170264,ND,71370,-1,2,VIMIOSO,QUINTA,-1,BRAGANCA,-1,E,250000
520,5,VENDA,MACEDO_DE_CAVALEIROS,292170259,USADO,-1,-1,4,MACEDO_DE_CAVALEIROS,MORADIA,-1,BRAGANCA,-1,E,285000
200,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170258,USADO,300,2,1,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,135000
295,5,VENDA,FREIXO_DE_ESPADA_A_CINTA_E_MAZOUCO,286170109,USADO,175,2,4,FREIXO_ESPADA_A_CINTA,MORADIA,-1,BRAGANCA,-1,-1,212500
370,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170257,ND,370,-1,-1,BRAGANCA,TERRENO_PARA_CONSTRUCAO,-1,BRAGANCA,-1,-1,45000
263,5,VENDA,FRANCA,292170256,USADO,50,-1,3,BRAGANCA,MORADIA,-1,BRAGANCA,-1,C,250000
115,2,VENDA,RIO_FRIO_E_MILHAO,292170255,NOVO,2200,1,1,BRAGANCA,MORADIA,-1,BRAGANCA,-1,E,120000
36,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170254,USADO,-1,-1,-1,BRAGANCA,LOJA,-1,BRAGANCA,-1,-1,50000
139,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292170252,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,103500
